date,mixPosActFloor,mixStateFloor
2016.11.21 22:49:28,0.0,0.0
2016.11.21 22:49:33,26.25,0.0
2016.11.21 22:49:38,73.6,1.0
2016.11.21 22:49:43,28.2,0.2
2016.11.21 22:49:49,62.0,0.8
2016.11.21 23:07:02,0.0,0.0
2016.11.21 23:07:07,26.0,0.0
2016.11.21 23:07:26,0.0,0.0
2016.11.21 23:07:31,27.25,0.0
2016.11.21 23:07:36,67.6,0.8
2016.11.21 23:07:41,21.2,0.0
2016.11.21 23:07:46,75.2,1.0
2016.11.21 23:07:51,24.75,0.0
2016.11.21 23:07:56,72.2,1.0
2016.11.21 23:08:01,27.0,0.0
2016.11.21 23:08:06,60.4,0.8
2016.11.21 23:08:11,28.75,0.0
2016.11.21 23:08:16,58.0,0.8
2016.11.21 23:08:22,32.2,0.2
2016.11.21 23:08:33,0.0,0.0
2016.11.21 23:09:12,0.0,0.0
2016.11.21 23:09:17,27.5,0.0
2016.11.21 23:26:45,0.0,0.0
2016.11.21 23:28:14,1.0,0.0
2016.11.21 23:28:19,24.75,0.0
2016.11.21 23:28:24,71.6,1.0
2016.11.21 23:28:29,25.4,0.0
2016.11.21 23:28:34,59.2,0.8
2016.11.21 23:28:39,29.5,0.0
2016.11.21 23:28:44,59.0,0.8
2016.11.21 23:28:49,31.6,0.2
2016.11.21 23:28:54,80.5,1.0
2016.11.21 23:28:59,29.8,0.2
2016.11.21 23:29:04,63.2,0.8
2016.11.21 23:29:09,37.8,0.2
2016.11.21 23:29:14,61.0,0.75
2016.11.21 23:29:19,34.2,0.2
2016.11.21 23:29:24,67.8,0.8
2016.11.21 23:29:29,42.6,0.4
2016.11.21 23:29:35,65.75,0.75
2016.11.21 23:29:40,39.8,0.4
2016.11.21 23:29:45,53.6,0.6
2016.11.21 23:29:50,42.0,0.25
2016.11.21 23:29:55,51.2,0.6
2016.11.21 23:30:00,45.2,0.4
2016.11.21 23:30:05,58.8,0.6
2016.11.21 23:30:10,48.25,0.5
2016.11.21 23:30:15,56.2,0.6
2016.11.21 23:30:20,49.8,0.6
2016.11.21 23:30:25,42.6,0.4
2016.11.21 23:30:30,55.8,0.6
2016.11.21 23:30:35,30.25,0.25
2016.11.21 23:30:40,53.0,0.6
2016.11.21 23:30:54,0.0,0.0
2016.11.21 23:30:59,25.75,0.0
2016.11.21 23:31:04,73.2,1.0
2016.11.21 23:31:10,25.8,0.0
2016.11.21 23:31:15,58.8,0.8
2016.11.21 23:31:20,31.4,0.2
2016.11.21 23:31:25,65.0,0.8
2016.11.21 23:31:30,33.5,0.25
2016.11.21 23:31:35,61.8,0.8
2016.11.21 23:31:40,35.0,0.2
2016.11.21 23:31:45,48.8,0.6
2016.11.21 23:31:50,37.5,0.25
2016.11.21 23:31:55,66.4,0.8
2016.11.21 23:32:00,40.6,0.4
2016.11.21 23:32:05,53.2,0.6
2016.11.21 23:32:10,42.5,0.25
2016.11.21 23:32:15,50.8,0.6
2016.11.21 23:32:20,44.8,0.4
2016.11.21 23:32:26,44.0,0.5
2016.11.21 23:32:31,43.6,0.4
2016.11.21 23:32:36,56.4,0.6
2016.11.21 23:32:41,51.0,0.6
2016.11.21 23:32:46,44.8,0.4
2016.11.21 23:32:51,53.5,0.5
2016.11.21 23:32:56,42.0,0.4
2016.11.21 23:33:01,55.8,0.6
2016.11.21 23:33:06,30.8,0.2
2016.11.21 23:33:11,60.5,0.75
2016.11.21 23:33:17,30.0,0.2
2016.11.21 23:33:22,63.6,0.8
2016.11.21 23:33:27,37.75,0.25
2016.11.21 23:33:32,59.6,0.6
2016.11.21 23:33:37,33.8,0.2
2016.11.21 23:33:42,65.0,0.8
2016.11.21 23:33:47,39.25,0.25
2016.11.21 23:33:52,61.6,0.8
2016.11.21 23:33:57,34.8,0.2
2016.11.21 23:34:02,68.8,0.8
2016.11.21 23:34:07,22.4,0.0
2016.11.21 23:34:12,70.5,1.0
2016.11.21 23:34:17,38.8,0.2
2016.11.21 23:34:22,73.2,1.0
2016.11.21 23:34:28,23.25,0.0
2016.11.21 23:34:33,71.6,1.0
2016.11.21 23:34:38,26.2,0.0
2016.11.21 23:34:43,60.2,0.8
2016.11.21 23:34:48,29.25,0.0
2016.11.21 23:34:53,76.8,1.0
2016.11.21 23:34:58,31.8,0.2
2016.11.21 23:35:03,65.6,0.8
2016.11.21 23:35:08,35.5,0.25
2016.11.21 23:35:13,64.2,0.8
2016.11.21 23:35:18,39.6,0.4
2016.11.21 23:35:23,63.0,0.75
2016.11.21 23:35:28,37.2,0.2
2016.11.21 23:35:33,51.8,0.6
2016.11.21 23:35:38,40.75,0.25
2016.11.21 23:35:44,49.4,0.6
2016.11.21 23:35:49,44.0,0.4
2016.11.21 23:35:54,68.0,0.75
2016.11.21 23:35:59,41.4,0.4
2016.11.21 23:36:04,55.4,0.6
2016.11.21 23:36:09,50.2,0.6
2016.11.21 23:36:14,50.0,0.5
2016.11.21 23:36:19,49.6,0.6
2016.11.21 23:36:24,49.0,0.5
2016.11.21 23:36:29,49.0,0.4
2016.11.21 23:36:34,43.0,0.4
2016.11.21 23:36:39,57.4,0.6
2016.11.21 23:36:44,31.5,0.25
2016.11.21 23:36:49,54.8,0.6
2016.11.21 23:36:54,48.8,0.4
2016.11.21 23:37:00,58.5,0.75
2016.11.21 23:37:05,47.6,0.4
2016.11.21 23:37:10,63.0,0.8
2016.11.21 23:37:15,37.75,0.25
2016.11.21 23:37:20,60.8,0.8
2016.11.21 23:37:25,35.8,0.2
2016.11.21 23:37:30,65.5,0.75
2016.11.21 23:37:35,34.0,0.2
2016.11.21 23:37:40,68.6,0.8
2016.11.21 23:37:45,23.0,0.0
2016.11.21 23:37:50,71.5,1.0
2016.11.21 23:37:55,39.8,0.2
2016.11.21 23:38:00,73.0,1.0
2016.11.21 23:38:05,27.6,0.0
2016.11.21 23:38:10,76.5,1.0
2016.11.21 23:38:15,25.4,0.0
2016.11.21 23:38:21,60.2,0.8
2016.11.21 23:38:26,30.0,0.0
2016.11.21 23:38:31,58.0,0.8
2016.11.21 23:38:36,32.0,0.2
2016.11.21 23:38:41,81.0,1.0
2016.11.21 23:38:46,30.8,0.2
2016.11.21 23:38:51,64.2,0.8
2016.11.21 23:38:56,39.4,0.4
2016.11.21 23:39:01,63.0,0.75
2016.11.21 23:39:06,37.0,0.2
2016.11.21 23:39:11,50.6,0.6
2016.11.21 23:39:16,44.4,0.4
2016.11.21 23:39:21,67.5,0.75
2016.11.21 23:39:26,41.0,0.4
2016.11.21 23:39:32,54.0,0.6
2016.11.21 23:39:37,47.4,0.4
2016.11.21 23:39:42,46.0,0.5
2016.11.21 23:39:47,44.8,0.4
2016.11.21 23:39:52,67.75,0.75
2016.11.21 23:39:57,41.0,0.4
2016.11.21 23:40:02,55.8,0.6
2016.11.21 23:40:07,42.75,0.25
2016.11.21 23:40:12,49.4,0.6
2016.11.21 23:40:17,42.6,0.4
2016.11.21 23:40:22,57.0,0.6
2016.11.21 23:40:27,46.5,0.5
2016.11.21 23:40:32,56.4,0.6
2016.11.21 23:40:37,45.75,0.5
2016.11.21 23:40:42,55.2,0.6
2016.11.21 23:40:47,49.0,0.4
2016.11.21 23:40:52,49.0,0.5
2016.11.21 23:40:57,48.0,0.4
2016.11.21 23:41:02,43.6,0.4
2016.11.21 23:41:07,46.75,0.5
2016.11.21 23:41:12,64.75,0.75
2016.11.21 23:41:18,39.8,0.4
2016.11.21 23:41:23,53.4,0.6
2016.11.21 23:41:28,48.4,0.4
2016.11.21 23:41:33,48.0,0.5
2016.11.21 23:41:38,47.0,0.4
2016.11.21 23:41:43,41.0,0.4
2016.11.21 23:41:48,49.5,0.5
2016.11.21 23:41:53,58.4,0.6
2016.11.21 23:41:58,52.4,0.6
2016.11.21 23:42:03,46.6,0.4
2016.11.21 23:42:08,55.5,0.75
2016.11.21 23:42:13,45.6,0.4
2016.11.21 23:42:18,60.0,0.6
2016.11.21 23:42:23,34.25,0.25
2016.11.21 23:42:28,58.0,0.6
2016.11.21 23:42:33,33.0,0.2
2016.11.21 23:42:39,61.75,0.75
2016.11.21 23:42:44,30.4,0.2
2016.11.21 23:42:49,64.4,0.8
2016.11.21 23:42:54,38.25,0.25
2016.11.21 23:42:59,61.4,0.8
2016.11.21 23:43:04,36.0,0.2
2016.11.21 23:43:09,69.8,0.8
2016.11.21 23:43:14,19.0,0.0
2016.11.21 23:43:19,67.2,0.8
2016.11.21 23:43:24,23.0,0.0
2016.11.21 23:43:29,72.0,1.0
2016.11.21 23:43:34,40.8,0.2
2016.11.21 23:43:39,75.0,1.0
2016.11.21 23:43:44,25.25,0.0
2016.11.21 23:43:49,73.4,1.0
2016.11.21 23:43:55,27.8,0.0
2016.11.21 23:44:00,62.2,0.8
2016.11.21 23:44:05,31.75,0.0
2016.11.21 23:44:10,60.0,0.8
2016.11.21 23:44:15,33.6,0.2
2016.11.21 23:44:20,67.2,0.8
2016.11.21 23:44:25,36.25,0.25
2016.11.21 23:44:30,64.8,0.8
2016.11.21 23:44:35,39.8,0.4
2016.11.21 23:44:40,54.0,0.6
2016.11.21 23:44:45,43.0,0.25
2016.11.21 23:44:50,51.4,0.6
2016.11.21 23:44:55,46.8,0.4
2016.11.21 23:45:01,45.0,0.5
2016.11.21 23:45:06,43.2,0.4
2016.11.21 23:45:11,56.6,0.6
2016.11.21 23:45:16,50.4,0.6
2016.11.21 23:45:21,50.0,0.5
2016.11.21 23:45:26,48.6,0.4
2016.11.21 23:45:31,42.6,0.4
2016.11.21 23:45:36,57.0,0.6
2016.11.21 23:45:41,31.75,0.25
2016.11.21 23:45:46,55.0,0.6
2016.11.21 23:45:51,49.6,0.4
2016.11.21 23:45:56,58.0,0.75
2016.11.21 23:46:01,47.6,0.4
2016.11.21 23:46:07,61.8,0.8
2016.11.21 23:46:12,35.4,0.2
2016.11.21 23:46:17,69.2,0.8
2016.11.21 23:46:22,18.5,0.0
2016.11.21 23:46:27,67.4,0.8
2016.11.21 23:46:32,23.0,0.0
2016.11.21 23:46:37,72.25,1.0
2016.11.21 23:46:42,22.0,0.0
2016.11.21 23:46:47,57.2,0.8
2016.11.21 23:46:52,26.5,0.0
2016.11.21 23:46:57,74.6,1.0
2016.11.21 23:47:02,30.0,0.2
2016.11.21 23:47:08,79.5,1.0
2016.11.21 23:47:13,28.6,0.2
2016.11.21 23:47:18,62.6,0.8
2016.11.21 23:47:23,36.8,0.2
2016.11.21 23:47:28,60.75,0.75
2016.11.21 23:47:33,35.2,0.2
2016.11.21 23:47:38,49.2,0.6
2016.11.21 23:47:43,38.5,0.25
2016.11.21 23:47:48,66.8,0.8
2016.11.21 23:47:53,42.0,0.4
2016.11.21 23:47:58,66.5,0.75
2016.11.21 23:48:03,40.4,0.4
2016.11.21 23:48:08,50.4,0.6
2016.11.21 23:48:14,44.6,0.4
2016.11.21 23:48:19,68.0,0.75
2016.11.21 23:48:24,42.2,0.4
2016.11.21 23:48:29,57.0,0.6
2016.11.21 23:48:34,46.5,0.5
2016.11.21 23:48:39,54.6,0.6
2016.11.21 23:48:44,49.0,0.4
2016.11.21 23:48:49,42.6,0.4
2016.11.21 23:48:54,51.5,0.5
2016.11.21 23:48:59,40.2,0.4
2016.11.21 23:49:04,55.0,0.6
2016.11.21 23:49:10,49.6,0.4
2016.11.21 23:49:15,59.5,0.75
2016.11.21 23:49:20,49.0,0.4
2016.11.21 23:49:30,0.0,0.0
2016.11.21 23:49:35,27.0,0.0
2016.11.21 23:50:15,1.0,0.0
2016.11.21 23:51:14,0.0,0.0
2016.11.21 23:51:20,26.75,0.0
2016.11.21 23:51:25,74.4,1.0
2016.11.21 23:51:30,29.2,0.2
2016.11.21 23:51:35,63.8,0.8
2016.11.21 23:51:40,33.5,0.25
2016.11.21 23:51:45,62.2,0.8
2016.11.21 23:51:50,35.8,0.2
2016.11.21 23:51:55,67.8,0.8
2016.11.21 23:52:00,37.25,0.25
2016.11.21 23:52:05,65.2,0.8
2016.11.21 23:52:10,38.6,0.2
2016.11.21 23:52:15,51.8,0.6
2016.11.21 23:52:20,39.5,0.25
2016.11.21 23:52:25,68.0,0.8
2016.11.21 23:52:31,41.6,0.4
2016.11.21 23:52:36,56.4,0.6
2016.11.21 23:52:56,0.0,0.0
2016.11.21 23:53:01,27.5,0.0
2016.11.21 23:53:06,75.8,1.0
2016.11.21 23:53:11,30.0,0.2
2016.11.21 23:53:16,63.6,0.8
2016.11.21 23:53:22,32.75,0.0
2016.11.21 23:53:27,61.6,0.8
2016.11.21 23:53:32,30.4,0.2
2016.11.21 23:53:37,78.5,1.0
2016.11.21 23:53:46,0.0,0.0
2016.11.21 23:53:51,26.75,0.0
2016.11.21 23:54:34,1.0,0.0
